,count,mean,std,min,25%,50%,75%,max
Holy Motors (2012),8.0,3.375,1.3024701806293193,1.0,2.75,4.0,4.0,5.0
Ted (2012),27.0,2.5185185185185186,0.8931521694094449,1.0,2.0,3.0,3.0,4.0
Amour (2012),7.0,4.142857142857143,1.2149857925879117,2.0,3.5,5.0,5.0,5.0
Skyfall (2012),28.0,3.3214285714285716,0.9833266074561477,1.0,3.0,3.0,4.0,5.0
Oh Boy (2012),6.0,3.3333333333333335,0.816496580927726,2.0,3.0,3.5,4.0,4.0
Frances Ha (2012),6.0,4.0,1.2649110640673518,2.0,3.25,4.5,5.0,5.0
Intouchables (2011),28.0,4.214285714285714,0.8325393042503718,2.0,4.0,4.0,5.0,5.0
Drive (2011),23.0,4.130434782608695,1.0137396037394035,2.0,4.0,4.0,5.0,5.0
The Girl with the Dragon Tattoo (2011),13.0,3.3846153846153846,0.869718492622904,2.0,3.0,3.0,4.0,5.0
Midnight in Paris (2011),20.0,3.15,1.0894228312566052,1.0,2.0,3.0,4.0,5.0
The Help (2011),13.0,4.076923076923077,0.9540735874430285,3.0,3.0,4.0,5.0,5.0
The Tree of Life (2011),11.0,3.3636363636363638,1.433368568981982,1.0,3.0,3.0,4.5,5.0
Inception (2010),35.0,4.285714285714286,0.9258200997725515,2.0,4.0,5.0,5.0,5.0
The King's Speech (2010),21.0,3.9047619047619047,0.7684244858645451,3.0,3.0,4.0,4.0,5.0
Black Swan (2010),24.0,4.125,0.9918143234365558,2.0,4.0,4.0,5.0,5.0
Shutter Island (2010),30.0,3.933333333333333,1.048260737942924,1.0,4.0,4.0,5.0,5.0
Easy A (2010),13.0,2.6923076923076925,1.5483655567842813,1.0,1.0,2.0,4.0,5.0
Despicable Me (2010),27.0,3.7777777777777777,1.0127393670836666,1.0,3.0,4.0,4.5,5.0
127 Hours (2010),15.0,3.1333333333333333,1.1872336794093274,1.0,2.0,3.0,4.0,5.0
The Social Network (2010),26.0,3.423076923076923,1.0265700920278915,1.0,3.0,3.0,4.0,5.0
