Timestamp,"Please, add a name or alias",Joker (2019),Parasite (2019),Once upon a time... in Hollywood  (2019),Marriage Story (2019),The irishman  (2019),1917 (2019),Us (2019),Pain & Glory (2019),The Lighthouse (2019),Knives Out (2019),Jojo Rabbit (2019),The Farewell (2019),Yesterday (2019),Roma (2018),Bohemian Rhapsody (2018),Ready Player One (2018),Isle of Dogs (2018),A Star Is Born (2018),The Favourite  (2018),Black Panther (2018),BlacKkKlansman (2018),Spiderman: into Spider-verse (2018),Suspiria (2018),Avengers: Infinity War (2018),Dunkirk (2017),Blade Runner 2049 (2017),Get Out (2017),Coco (2017),The Shape of Water (2017),It (2017),"Three Billboards Outside Ebbing, Missouri (2017)",Call Me by Your Name (2017),Mother! (2017),Lady Bird (2017),Deadpool (2016),Arrival (2016),La La Land (2016),Moonlight (2016),Hidden Figures (2016),Nocturnal Animals (2016),Captain Fantastic (2016),Toni Erdmann (2016),Split (2016),Hacksaw Ridge (2016),The Martian (2015),Inside Out (2015),Mad Max: Fury Road (2015),Ex Machina (2015),The Revenant (2015),Spotlight (2015),Anomalisa (2015),Carol (2015),Star Wars: Episode VII - The Force Awakens (2015),Victoria (2015),Interstellar (2014),The Imitation Game (2014),Guardians of the Galaxy (2014),Gone Girl (2014),"Grand Budapest Hotel, The (2014)",Edge of Tomorrow (2014),Whiplash (2014),Birdman: Or (The Unexpected Virtue of Ignorance) (2014),Nightcrawler (2014),The Lego Movie (2014),John Wick (2014),Boyhood (2014),The Wolf of Wall Street (2013),Gravity (2013),Her (2013),Frozen (2013),Now You See Me (2013),Under the Skin (2013),Inside Llewin Davis (2013),The Hunger Games (2012),Django Unchained (2012),Silver Linings Playbook (2012),Life of Pi (2012),Cloud Atlas (2012),Holy Motors (2012),Ted (2012),Amour (2012),Skyfall (2012),Oh Boy (2012),Frances Ha (2012),Intouchables (2011),Drive (2011),The Girl with the Dragon Tattoo (2011),Midnight in Paris (2011),The Help (2011),The Tree of Life (2011),Inception (2010),The King's Speech (2010),Black Swan (2010),Shutter Island (2010),Easy A (2010),Despicable Me (2010),127 Hours (2010),The Social Network (2010),Additional films that you would like to remark,,,
2020/03/02 1:27:25 pm CET,Alex,4,,5,,,,,,,,,,,,,,,,,,,,,,,3,5,,,3,,,,,1,,4,,,,,,,,,,5,,,,,,,,5,,3,,4,,,5,,,,,4,,,,,,,2,4,,4,,,3,,3,,,5,,,,,,4,,4,4,,4,,4,,,,
2020/03/03 9:40:41 am CET,me,5,5,3,5,2,4,,3,,2,,3,3,3,3,,5,4,5,3,3,4,,2,5,3,4,4,2,,4,3,4,5,2,5,4,3,3,4,5,3,,2,3,4,5,5,5,3,5,4,2,4,3,3,3,5,4,4,5,3,5,4,,5,5,5,4,,,2,3,,3,2,4,3,4,2,3,4,4,3,3,2,4,2,,5,4,3,4,4,,,2,5,,,,
2020/03/03 10:00:27 am CET,June,,5,,5,,,,,,,,,,,,,4,,,,,4,,5,,,,,,2,,,,,5,5,4,5,5,4,,,,,4,5,5,,5,,,,5,,5,,4,4,5,,,,,,5,,5,3,,5,3,,,2,5,2,5,,,,,2,,,5,5,,,5,,5,,,3,1,5,3,3,,,,
2020/03/03 10:21:02 am CET,Max,4,,5,,4,5,,,,,,,,,,,,5,,,,,,,4,,3,,,,,5,,2,,5,,,5,,,,,3,4,,,,5,,,,4,,5,,3,,,4,,,,,3,,5,4,,,4,,,4,5,,4,,,2,,5,,,5,4,,,,,5,,,3,,,,,,,,
2020/03/03 11:39:45 am CET,Mandy,,,,,2,,,,,,,,,,5,,,,,3,,4,,3,,,,,,,,,,,,,,,,,,,,,,,4,,3,,,,3,,,,3,,,3,,,,,4,,5,,,,,,,,,,4,1,,1,,3,,,5,2,,2,,,2,,,5,,,,,,,,
2020/03/03 12:25:54 pm CET,Tobias,,,5,,,,,,,,,,,,5,,,,,,,,,5,4,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,4,,5,,,,,,,,5,,,,,,,5,,,,,,,,,,5,,5,,,,,,,,
2020/03/03 9:26:00 pm CET,em,3,5,3,4,5,3,3,3,3,4,5,3,4,5,4,2,3,1,4,1,3,1,2,1,3,3,3,3,3,3,4,5,5,4,3,3,4,3,3,,4,,,5,,,,5,5,5,,,,,,4,,,,,5,,,,,,,,5,,1,,,2,,4,,,,,,,,,5,,,,,5,,,5,5,,,,,,,,
2020/03/05 7:55:20 am CET,Dani,5,,5,,3,,,,,,5,,,3,4,2,4,,,,,,,,4,,,,,5,,,,,5,,4,5,,,4,,,,,3,,,,,,,,,,,,,5,,,5,3,,,,4,,,3,,,,,5,3,,,,1,,,,,4,,,,,,,4,5,,1,3,4,,,,,
2020/03/05 1:12:05 pm CET,Pantareimadrid,4,,1,,,,,5,,,,,,4,4,,4,,,2,,,,2,2,2,4,5,1,1,4,,3,,3,5,3,4,4,4,4,,4,,1,4,2,2,4,5,5,4,4,3,3,5,2,5,2,2,4,,5,,,,4,2,,1,,,,3,,4,4,,,,,3,,,,,3,,5,3,3,4,4,1,,5,,,Seven,,,
2020/03/05 1:18:05 pm CET,tove,,,,,,,,,,,,,,,,5,,,,,5,,,,,,5,,5,4,5,3,,3,,4,3,,,,,,4,,,,,,2,,,,,,,5,,4,5,,,3,,,,,4,2,3,3,,,,4,5,4,,,,2,,,,,,,,,,,3,,3,4,5,5,,3,,,,
2020/03/05 1:26:13 pm CET,Elsa,,,,5,,,,,,,,,,,4,,,,,,,,,,,,,4,,,4,,5,,5,,4,,3,,,,,,,3,3,,2,,4,4,4,3,,3,,4,4,,5,2,,3,,5,4,,5,3,,,,3,,3,5,,,2,,4,,5,,4,4,3,,,3,5,,,4,5,5,3,,,,
2020/03/05 1:31:38 pm CET,lea dicaprio,3,5,4,,,5,,,,,,,,,4,,,3,,4,,,,,,,,5,,,,,,,,,,5,,,,,,,,4,,,5,4,,,,,4,,,3,,,,,,,,,4,3,,3,,,,4,5,,,,,,,4,,,5,5,,2,,,5,5,4,3,2,,3,3,,,,
2020/03/05 1:33:34 pm CET,Cuanina,4,5,2,4,3,,,4,3,,3,,3,4,4,,4,4,2,,5,1,,1,3,3,4,5,3,4,5,2,4,2,,3,3,4,4,,5,5,,,2,4,,2,3,4,4,5,2,4,4,4,2,4,4,,5,4,3,,,4,3,3,4,3,,,4,4,4,5,4,3,5,3,5,2,4,4,5,5,4,4,5,1,4,5,4,4,,4,,,,,,
2020/03/05 1:36:47 pm CET,Alex Tester,5,5,4,,,5,,,,,5,,3,4,3,1,,,4,3,,,,3,4,4,,4,,,,,,,2,4,,4,4,,,,,3,4,4,3,,4,,,,3,,5,4,3,5,4,4,,4,3,,2,,4,4,5,2,3,,,4,5,3,4,5,,3,,3,,,,,,4,,1,5,4,4,4,,4,,5,,,,
2020/03/05 1:50:25 pm CET,Carmen Maura,3,5,3,5,2,,1,5,,,,,,5,4,,,1,2,,,,,,,,3,5,1,,4,5,1,4,,2,1,3,4,3,4,,,,4,4,,,2,4,,5,,5,4,,,4,3,,4,4,,,,,5,3,5,2,,,,,5,4,5,,1,2,4,1,,,3,,2,3,5,,3,5,5,3,1,3,,3,,,,
2020/03/05 2:09:06 pm CET,Carstencito,,,3,,,,,5,,,,,4,,4,1,,2,4,1,4,4,,2,4,,,3,3,1,5,3,,3,4,4,3,3,4,5,4,,3,,4,4,,4,3,,,5,2,,4,,4,5,4,3,,3,4,2,,,2,2,4,4,2,,4,1,2,5,5,5,,,,2,3,,3,,,1,4,,4,4,,1,,3,,4,"Once upon the time in Kurdistan, 5 stars
The reluctant Fundamentalist, 4 stars
Some like ist hot,  6 stars
Frantz (Ozon), 4 stars
Starship Troopers,  5 stars
Where pride begun, 5 stars",,,
2020/03/05 2:25:42 pm CET,Mag,,5,,4,5,,,4,,4,5,,3,5,,,,1,,1,,,,1,,,,,,,,5,5,4,,,,,,,4,,,4,,,,,4,4,,,,,,,,,,,5,,,,,,,,4,,,,,,,,,,,,,,,,5,4,,,,5,,,5,,,,,,,,,
2020/03/05 2:29:15 pm CET,Arne,,,,,,,,,,,,,,,,,,,,4,,,,5,,,,,,,,,,,5,,,,,,,,,,,3,,,4,,,,2,,,,5,,,4,,,,,5,,,,,3,,,,,5,,,,,3,,,,,5,,,,,,5,,,4,,4,,,300; superbad,,,
2020/03/05 2:32:24 pm CET,Kosta,4,,5,5,,,,,,,,,,,,4,5,,,4,,,,4,,3,,4,3,,,,,4,5,4,5,,,,3,,,,2,4,,,,,,,5,,5,,5,,,4,,,,5,,,5,4,,,5,,,4,,,4,,,4,,4,,,,,,5,,,5,,,,,5,,,"Damn, that are a lot of movies...",,,
2020/03/05 2:38:58 pm CET,Chespirito,4,,2,4,,,,5,,,,,,5,3,2,4,,,1,,1,,3,2,2,4,4,2,2,3,,4,,4,5,1,5,3,,4,,2,,1,4,2,5,4,4,4,3,2,4,4,3,3,4,3,3,3,3,4,3,4,,,3,4,2,1,4,,1,2,,4,1,,3,,3,,,,5,3,,3,4,5,,5,4,,4,4,2,,,,
2020/03/05 2:50:50 pm CET,Marcel,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,4,3,5,,4,,,,5,4,5,4,,,,,,,4,,,,,4,,,,,,,5,,4,,,,,4,,,5,5,,,,,5,,,4,,,,3,Dead Man,,,
2020/03/05 2:55:22 pm CET,Flac,4,,4,,3,,,,,,,,,,5,,,,,,,,,,,,,4,,,,,,,3,,,,,,,,,,,5,,,,,,,2,,,,,,,,,,,3,,,,,,,3,,,2,3,,,,,3,,3,,,,4,,,,,4,,,4,,3,,,,,,
2020/03/05 3:04:52 pm CET,yai,,5,,4,,,,3,5,,,,,,4,,,4,,,,,,,,5,,5,1,,,4,,,,,4,,5,,5,,,,,5,,5,1,,,4,,,,4,,,5,,,3,,,,,,2,5,4,,,,3,,4,,,,2,,,,,4,,,4,5,,4,4,2,5,,3,,,,,,
2020/03/05 3:09:01 pm CET,Totoro,4,5,4,3,3,4,,,2,,4,3,3,2,2,,,,,,,,,,,,,,,,,,,,5,3,4,4,,,,4,,3,3,3,3,,4,,,,2,,4,4,3,3,5,,,5,,,,,4,,,,,,,,4,3,,,,,,3,3,,,,,2,,,5,3,2,4,1,4,1,2,,,,
2020/03/05 4:05:44 pm CET,John Sample,5,,3,,,,,,,,,,,4,5,,,,,4,,5,,5,4,3,,,2,,,,,,4,,,,,,4,,,,3,2,2,3,,,,,4,,4,,3,,,3,,,,2,,,4,4,,,,,,3,5,,,,,3,,3,,,4,4,,4,,,,,,,,5,,1,,,,
2020/03/05 4:26:17 pm CET,Wim Wenders,5,5,3,5,3,,,3,,2,5,,3,4,4,3,4,2,5,2,4,2,,1,,4,4,3,3,1,5,4,4,4,2,5,5,,1,,4,4,1,4,3,3,3,4,5,3,5,,2,,5,3,4,4,5,4,5,5,4,2,1,5,4,5,5,4,1,3,4,1,4,4,4,1,4,1,5,4,,5,3,5,,5,3,4,5,3,4,4,2,2,3,5,"Paris, Texas",,,
2020/03/05 7:16:16 pm CET,Isabel,5,5,5,,,,,,,,,,,,4,,,,3,,,,,,,4,,,,,,,,3,,,4,4,,,,,,,3,,5,,4,,,,2,2,4,,,,5,,5,,,,,,4,3,5,,,,,4,,5,,,,3,,3,,,4,5,3,4,,,4,3,5,4,4,4,4,2,,,,
2020/03/05 11:03:09 pm CET,Julie,5,,3,4,,,,,,,,,,5,5,,,,,,,,,2,,,,5,4,2,,,4,,,4,2,4,5,4,,,,,4,4,,5,4,,,,,4,5,5,,2,4,,5,3,,,,4,5,5,,,,,,,,4,3,,4,,,,,,4,,,3,5,,5,,5,,,,,3,,,,
2020/03/06 12:03:16 am CET,Tony Stark,4,3,4,2,2,3,3,3,3,2,2,1,2,2,5,4,3,4,3,3,2,4,2,5,4,2,3,1,2,3,3,2,2,2,4,4,4,3,3,4,2,2,3,4,4,2,3,3,5,3,2,2,4,3,5,5,4,4,2,4,3,5,3,2,3,3,4,3,2,2,3,2,2,3,4,3,4,2,2,3,2,4,2,2,4,3,4,3,3,3,5,3,2,5,3,1,2,3,,,,
2020/03/06 7:26:31 am CET,Hilko,5,5,4,5,,,,,,,4,,,4,5,,5,5,4,,5,,,,4,,5,5,,,5,,,4,,,2,4,,,4,5,,,,5,,,4,5,,,,5,1,,,4,4,,5,5,,,,,4,1,4,,,,4,4,4,4,4,,4,,5,,4,,4,4,,4,,,,4,,,,,,,,,,
2020/03/07 9:48:23 pm CET,Yoana,4,5,4,5,1,,,3,,1,,,,4,4,,,5,5,2,3,5,,3,5,2,3,5,,,4,5,5,4,,3,4,,,,3,,2,,4,4,5,4,3,4,4,4,1,,3,3,4,,4,1,5,5,4,,,3,5,5,4,,1,4,5,4,5,4,2,5,,1,,3,,,2,4,3,3,3,3,2,3,5,3,,,5,4,,,,
